name,age,gender,grade,course,attendance_pct,enrollment_date
Stephanie Lara,25.0,M,Unknown,Math,32.39716158781074,32-13-2020
Eric Sutton,-1.0,Male,C,Unknown,32.39716158781074,32-13-2020
Alexis Gonzales,22.0,maale,A,Unknown,-10.0,32-13-2020
Leslie Warren,23.0,Male,A,math,32.39716158781074,1970-01-01
Debra Bailey,-1.0,Male,C,math,92.8,1970-01-01
Sally Hernandez,-1.0,Male,C,English,32.39716158781074,32-13-2020
Lisa Kelley,-1.0,Male,A,SCIENCE,83.64,32-13-2020
William Bell,25.0,Other,Unknown,Unknown,-10.0,1970-01-01
Felicia Lewis,-1.0,femle,D,Unknown,-10.0,32-13-2020
Leonard Lester,-1.0,M,F,Science,-10.0,32-13-2020
Madison Perry,-1.0,Male,B,English,82.88,2024-02-04
Heidi Fields MD,18.0,Female,F,History,32.39716158781074,2020-08-30
Stacie Byrd,-1.0,Other,Unknown,History,60.66,32-13-2020
Tina Johnson,-1.0,F,C,History,-10.0,1970-01-01
Joshua Johnson,-1.0,Other,F,SCIENCE,-10.0,1970-01-01
Travis Mendez,18.0,Female,B,math,32.39716158781074,2023-07-16
Danielle Abbott,-1.0,Unknown,Unknown,Unknown,-10.0,1970-01-01
Andrea Moses,-1.0,femle,F,Math,57.14,2024-06-09
Michael Le,-1.0,F,Unknown,Unknown,-10.0,2025-05-01
Brian Christensen,11.0,maale,A,math,32.39716158781074,2025-02-08
Kristen Gordon,-1.0,Unknown,Unknown,math,32.39716158781074,32-13-2020
James Keller,-1.0,Male,C,math,32.39716158781074,2025-05-07
Melissa Williams,-1.0,Other,Unknown,Math,52.86,1970-01-01
Jacqueline Ward,-1.0,Male,A,Math,-10.0,32-13-2020
Nicholas Wilkinson,21.0,M,Unknown,math,99.95,2022-05-19
Lauren Bauer,-1.0,Unknown,F,History,-10.0,1970-01-01
Patricia Leonard,-1.0,Unknown,D,SCIENCE,-10.0,1970-01-01
Victoria Crosby,16.0,maale,D,math,32.39716158781074,1970-01-01
Jenny Phillips,-1.0,maale,A,English,-10.0,32-13-2020
Emily Thompson,-1.0,Other,A,math,32.39716158781074,2025-05-16
Samantha Martinez,17.0,Other,C,Science,57.27,2021-11-18
Jason Davis,-1.0,M,D,math,64.3,32-13-2020
Sharon Jones,-1.0,M,C,Unknown,58.77,1970-01-01
Mary Martin,-1.0,M,D,Unknown,-10.0,2021-07-31
Willie Larson,10.0,maale,D,Unknown,32.39716158781074,32-13-2020
Ronald Brown,-1.0,Female,A,English,32.39716158781074,1970-01-01
Russell Smith,-1.0,Female,Unknown,math,32.39716158781074,1970-01-01
Todd Jordan,-1.0,Unknown,B,math,32.39716158781074,1970-01-01
Mark Dalton,-1.0,Female,Unknown,SCIENCE,-10.0,32-13-2020
Justin Richards,15.0,Male,F,Unknown,77.92,1970-01-01
Beverly Johnson,-1.0,Other,B,Unknown,52.18,2020-10-30
Jasmine Hernandez,-1.0,Unknown,C,Unknown,32.39716158781074,1970-01-01
Angelica Lee,-1.0,M,Unknown,Science,32.39716158781074,32-13-2020
Kenneth Browning DDS,12.0,M,B,math,80.09,2024-02-19
Eugene Nichols,-1.0,Unknown,C,English,32.39716158781074,2022-05-05
Michael Nguyen,-1.0,maale,F,math,32.39716158781074,32-13-2020
Brandon Brown,-1.0,Unknown,A,Science,-10.0,32-13-2020
Russell Cooper,-1.0,femle,A,Science,32.39716158781074,1970-01-01
Sarah Donaldson MD,-1.0,Unknown,A,math,95.06,32-13-2020
Laura Stokes,-1.0,femle,Unknown,Math,32.39716158781074,1970-01-01
Thomas Trujillo,-1.0,Unknown,Unknown,Math,-10.0,32-13-2020
Mrs. Michelle Gray MD,-1.0,Female,A,Science,-10.0,2021-05-06
Jamie Cabrera,-1.0,Unknown,C,Science,32.39716158781074,32-13-2020
Nathaniel Roberts,-1.0,Male,C,Unknown,32.39716158781074,2024-05-13
Sarah Hanson,-1.0,Other,F,SCIENCE,-10.0,2020-09-15
Melissa Jones,-1.0,Female,C,English,32.39716158781074,2021-11-10
Donna Brown,-1.0,Female,A,Unknown,-10.0,32-13-2020
Faith Bennett,-1.0,Other,D,Unknown,62.04,32-13-2020
Emily Johnson,24.0,Unknown,C,Unknown,62.89,32-13-2020
Jacob Peters,-1.0,F,D,Math,95.57,32-13-2020
Bradley Horton,10.0,femle,F,math,32.39716158781074,1970-01-01
Richard Blevins,11.0,F,F,Unknown,-10.0,32-13-2020
Jeanne Smith PhD,-1.0,femle,D,English,-10.0,1970-01-01
Anthony Rivers,-1.0,F,F,math,32.39716158781074,2020-09-26
Cory Rodriguez,-1.0,F,A,English,92.81,2025-03-05
Nicholas Smith,-1.0,Female,D,SCIENCE,32.39716158781074,32-13-2020
Thomas Daugherty DDS,-1.0,Unknown,Unknown,History,32.39716158781074,1970-01-01
Caleb Wagner,16.0,Female,C,Unknown,52.12,1970-01-01
David Brown,-1.0,M,A,History,32.39716158781074,2024-06-15
Deanna Young,-1.0,Other,Unknown,Math,32.39716158781074,1970-01-01
Teresa Mccann,-1.0,Unknown,C,English,93.33,1970-01-01
Sharon Mcclure,-1.0,maale,Unknown,English,32.39716158781074,1970-01-01
John George,-1.0,Female,F,Unknown,32.39716158781074,2020-09-21
Joseph Grimes,-1.0,F,C,math,32.39716158781074,1970-01-01
Kelly Palmer,-1.0,Male,C,English,53.71,2022-08-26
Bethany White,-1.0,F,Unknown,Math,59.95,32-13-2020
Stephen Bradford,11.0,Unknown,F,History,-10.0,32-13-2020
Jesse Moody,-1.0,Male,F,History,32.39716158781074,2020-08-24
Jason French,-1.0,M,B,Science,32.39716158781074,1970-01-01
Amanda Griffin,-1.0,F,Unknown,SCIENCE,32.39716158781074,2024-03-18
Craig Le,-1.0,F,D,Science,94.14,32-13-2020
Juan Wells,-1.0,Unknown,A,math,61.23,2025-03-25
Marcus Phillips,-1.0,Unknown,Unknown,Unknown,-10.0,32-13-2020
Lance Weaver,23.0,Unknown,D,Unknown,32.39716158781074,32-13-2020
Rebecca Kaiser,-1.0,maale,C,History,32.39716158781074,32-13-2020
Amber Johnson,-1.0,M,A,English,81.33,32-13-2020
Jay Randall MD,-1.0,maale,C,Unknown,32.39716158781074,1970-01-01
Matthew Carey,23.0,femle,D,Unknown,32.39716158781074,2024-09-14
Christina Bailey,-1.0,Other,D,Unknown,32.39716158781074,32-13-2020
Robert Love,-1.0,Unknown,A,English,32.39716158781074,1970-01-01
Jessica Fox,-1.0,femle,Unknown,Math,-10.0,2023-01-21
Jennifer Ramos,-1.0,F,B,math,32.39716158781074,2020-11-03
Chad King,19.0,F,F,History,32.39716158781074,32-13-2020
James Hill,-1.0,maale,A,Unknown,32.39716158781074,32-13-2020
Jeremy Barnes,-1.0,Unknown,F,SCIENCE,-10.0,32-13-2020
Kathleen Reyes,-1.0,Other,Unknown,SCIENCE,64.88,1970-01-01
James Hernandez,-1.0,Female,Unknown,Unknown,56.55,1970-01-01
Kimberly Lewis,-1.0,Other,Unknown,Unknown,-10.0,1970-01-01
Meagan Villarreal,20.0,Unknown,D,Unknown,-10.0,32-13-2020
Donald Morales,-1.0,maale,C,Unknown,56.41,1970-01-01
Jacqueline Sanders,-1.0,M,C,Unknown,78.44,32-13-2020
Kevin Short,-1.0,Unknown,B,math,32.39716158781074,32-13-2020
Janice Smith,12.0,Female,Unknown,math,32.39716158781074,2020-09-06
Victoria Chang,-1.0,maale,B,English,32.39716158781074,2022-07-08
Sean Mahoney,-1.0,Female,B,SCIENCE,32.39716158781074,1970-01-01
Jennifer Henderson,-1.0,Other,A,Science,69.73,2024-12-08
Diane Berry,-1.0,Unknown,B,Math,32.39716158781074,32-13-2020
Edward Delgado,-1.0,Male,B,Math,-10.0,1970-01-01
Nathan Ryan,-1.0,Other,Unknown,math,32.39716158781074,32-13-2020
Ashley Clark,-1.0,Female,Unknown,Unknown,-10.0,32-13-2020
Arthur Oneal,-1.0,M,Unknown,Unknown,79.9,2022-02-01
Richard Rivas,-1.0,Other,B,Science,32.39716158781074,32-13-2020
Samuel Blankenship,-1.0,Unknown,F,math,97.92,2021-06-24
Raymond Valentine,-1.0,Female,Unknown,math,32.39716158781074,32-13-2020
Brandon Alvarado,10.0,Other,B,Science,-10.0,1970-01-01
Chris Nunez,-1.0,M,D,English,32.39716158781074,32-13-2020
Lisa Rogers,17.0,Unknown,F,Math,32.39716158781074,32-13-2020
Gina Mendez,-1.0,Unknown,F,History,-10.0,1970-01-01
Taylor Ward,-1.0,Unknown,A,Unknown,32.39716158781074,32-13-2020
Kristen Singh,-1.0,femle,Unknown,math,32.39716158781074,1970-01-01
Haley Davis,-1.0,Female,F,History,-10.0,1970-01-01
Jeff Green MD,21.0,Other,Unknown,Unknown,32.39716158781074,2024-02-07
Cory Guerrero,-1.0,Female,A,Unknown,32.39716158781074,32-13-2020
Dawn Trujillo,11.0,Unknown,C,SCIENCE,32.39716158781074,2023-02-08
Jerry Hernandez,-1.0,Unknown,Unknown,SCIENCE,32.39716158781074,2024-02-27
Justin Richardson,12.0,F,Unknown,Unknown,-10.0,32-13-2020
Karen Stein,-1.0,F,B,Unknown,-10.0,2022-08-24
Kurt Snow,-1.0,M,Unknown,History,32.39716158781074,32-13-2020
Victor Williams,-1.0,Male,A,SCIENCE,99.41,2022-10-19
Lori Romero,-1.0,F,F,Unknown,32.39716158781074,1970-01-01
Sharon Murillo,-1.0,F,D,Unknown,32.39716158781074,2022-07-23
Ashley Cameron,21.0,maale,Unknown,Math,32.39716158781074,32-13-2020
Kim Jackson,-1.0,M,A,Unknown,-10.0,32-13-2020
Charles Ochoa,-1.0,maale,Unknown,math,32.39716158781074,2021-02-21
George Barrera,-1.0,M,F,History,32.39716158781074,2024-05-20
Russell Jacobs,-1.0,Unknown,Unknown,math,-10.0,1970-01-01
Brian Tran,-1.0,Unknown,Unknown,Unknown,-10.0,32-13-2020
Elizabeth Scott DDS,11.0,Male,D,SCIENCE,62.53,2022-12-17
Erik Gordon,17.0,M,F,Unknown,94.65,32-13-2020
Kathryn Krueger,-1.0,M,C,Unknown,-10.0,1970-01-01
Annette Hansen,19.0,Unknown,C,SCIENCE,32.39716158781074,32-13-2020
Michael Stevens,-1.0,Male,Unknown,math,-10.0,2021-04-03
Bruce Jones,-1.0,F,Unknown,Math,32.39716158781074,1970-01-01
Carlos Duncan,-1.0,Male,B,SCIENCE,32.39716158781074,1970-01-01
Jessica James,25.0,Other,C,SCIENCE,-10.0,32-13-2020
Robert Schneider,23.0,M,Unknown,Unknown,95.1,2021-02-18
Tiffany Griffin,-1.0,femle,C,Unknown,56.75,32-13-2020
Erik Myers,-1.0,maale,D,History,74.42,1970-01-01
Alexandra Bishop,-1.0,Unknown,F,English,73.73,2024-12-09
Kristen Gonzalez,-1.0,maale,A,SCIENCE,32.39716158781074,32-13-2020
Taylor Zhang,13.0,Female,A,English,32.39716158781074,2020-08-26
Nicholas Garcia,-1.0,femle,D,Math,53.27,32-13-2020
Douglas Robinson,-1.0,F,D,Unknown,-10.0,32-13-2020
Jo Jones,-1.0,Unknown,F,History,32.39716158781074,2020-10-18
Sarah Robinson,-1.0,M,Unknown,Math,54.07,2020-09-18
Jennifer Adams,-1.0,M,F,math,56.11,1970-01-01
Jennifer Henry,-1.0,Unknown,C,Unknown,32.39716158781074,1970-01-01
Pamela Wilson,-1.0,Male,A,English,32.39716158781074,32-13-2020
Taylor Hammond,-1.0,maale,Unknown,English,32.39716158781074,2020-10-28
Kayla Cochran,14.0,Unknown,C,Unknown,98.45,1970-01-01
Eric Webster,-1.0,Unknown,A,Unknown,32.39716158781074,32-13-2020
Cody Young,-1.0,F,C,Unknown,-10.0,32-13-2020
Dawn Allen,-1.0,F,Unknown,Math,51.67,1970-01-01
Christopher Sharp,-1.0,F,C,English,32.39716158781074,32-13-2020
Veronica Graves,-1.0,F,Unknown,math,32.39716158781074,2023-11-01
Richard Kaufman,-1.0,F,Unknown,Unknown,57.41,2022-06-12
Joshua Young,-1.0,Male,D,History,-10.0,2025-03-17
Laura Johnson,22.0,Female,D,Math,-10.0,2024-01-25
Jeremy Reyes,-1.0,Unknown,C,Math,32.39716158781074,32-13-2020
Brittany Cruz,-1.0,F,Unknown,Science,32.39716158781074,1970-01-01
Stephanie Harris,10.0,M,A,math,-10.0,1970-01-01
Chris Jones,-1.0,Female,Unknown,Math,32.39716158781074,1970-01-01
Emily Owens,-1.0,Unknown,F,Science,32.39716158781074,1970-01-01
Jonathan Rivera,-1.0,Other,C,math,85.83,2021-07-28
Janice Gallagher,-1.0,F,Unknown,math,61.64,2024-09-20
Luke Larson MD,-1.0,Unknown,C,Unknown,32.39716158781074,1970-01-01
Christopher Herman,-1.0,femle,Unknown,Unknown,32.39716158781074,2024-08-02
John Vaughn,-1.0,Other,F,SCIENCE,95.23,32-13-2020
Veronica Mcgee,-1.0,Unknown,C,Science,32.39716158781074,2025-03-24
Aaron Martin,-1.0,Unknown,D,SCIENCE,32.39716158781074,1970-01-01
Theodore Marquez,-1.0,Male,A,SCIENCE,74.89,2021-06-13
Steven Medina,-1.0,Unknown,F,English,32.39716158781074,1970-01-01
Austin Anderson,-1.0,maale,A,Unknown,32.39716158781074,32-13-2020
