student_id,student_name,age,gender,course,grade,attendance,score,date_enrolled
1,Student_1,N/A,Female,math,F,present,-5,2024-04-25
2,Student_2,12,Other,SCIENCE,B-,present,N/A,invalid
3,Student_3,,FEMALE,Mathematics,D,Absent,68.07,invalid
4,Student_4,N/A,Female,science,B-,P,96.8,2024-08-24
5,Student_5,N/A,FEMALE,science,B,absent,N/A,19/10/2024
6,Student_6,,male,SCIENCE,F,P,,2024-03-12
7,Student_7,N/A,Male,math,B,Present,-6,02/08/2024
8,Student_8,11,other,English,D,Absent,,2024-09-18
9,Student_9,,FEMALE,SCIENCE,B-,absent,,2024-08-26
10,Student_10,13,other,MATH,A,Present,N/A,2024-04-12
11,Student_11,N/A,Female,History,A,N/A,-10,2024-08-06
12,Student_12,,Female,english,D,absent,34.91,invalid
13,Student_13,10,male,science,A,Present,,2024-07-13
14,Student_14,N/A,FEMALE,science,A+,A,N/A,2024-03-04
15,Student_15,N/A,female,english,A,N/A,53.11,2024-02-28
16,Student_16,N/A,other,English,A,N/A,-8,12/09/2024
17,Student_17,13,male,Mathematics,A,present,-7,invalid
18,Student_18,N/A,other,History,A,absent,,2024-09-23
19,Student_19,N/A,FEMALE,HISTORY,B,present,-7,2024-12-27
20,Student_20,N/A,other,english,A,Absent,3.21,24/10/2024
21,Student_21,16,female,english,B-,N/A,-1,24/06/2024
22,Student_22,,Other,Science,A+,A,83.06,28/05/2024
23,Student_23,N/A,other,Science,F,A,-4,2024-02-19
24,Student_24,,Female,History,,N/A,-7,2024-02-09
25,Student_25,13,Male,SCIENCE,N/A,Present,,2024-01-04
26,Student_26,20,Female,HISTORY,C,present,,2024-05-02
27,Student_27,18,Other,History,,A,-6,2024-01-02
28,Student_28,,male,History,B-,present,N/A,invalid
29,Student_29,N/A,FEMALE,english,D,N/A,N/A,2024-03-09
30,Student_30,N/A,Other,math,B,absent,28.23,invalid
31,Student_31,N/A,Female,Science,,Absent,N/A,2024-09-11
32,Student_32,,male,Mathematics,B,present,-6,2024-02-27
33,Student_33,,FEMALE,MATH,C,Present,,2024-05-15
34,Student_34,,male,MATH,N/A,A,N/A,2024-01-18
35,Student_35,,other,Mathematics,A,Present,,2024-11-25
36,Student_36,,Male,Mathematics,N/A,present,-5,2024-02-26
37,Student_37,,female,MATH,C,Present,,2024-01-21
38,Student_38,,female,MATH,C,Present,N/A,2024-04-19
39,Student_39,14,other,Science,A,Present,42.28,17/04/2024
40,Student_40,12,Male,HISTORY,B,A,65.43,17/02/2024
41,Student_41,N/A,Other,SCIENCE,B,P,,2024-02-07
42,Student_42,18,female,SCIENCE,C,,N/A,2024-07-25
43,Student_43,18,male,math,,P,-10,2024-12-07
44,Student_44,N/A,Other,English,D,P,N/A,2024-03-24
45,Student_45,15,male,Mathematics,,Present,-4,2024-07-08
46,Student_46,19,Female,Mathematics,B-,absent,45.43,25/03/2024
47,Student_47,18,Female,ENGLISH,B,absent,-9,2024-09-22
48,Student_48,N/A,female,Science,F,Absent,N/A,2024-09-02
49,Student_49,19,other,science,N/A,A,24.41,2024-01-13
50,Student_50,10,male,Science,B-,N/A,N/A,2024-03-26
51,Student_51,14,Male,English,A+,N/A,N/A,2024-06-19
52,Student_52,,Male,MATH,,A,98.95,2024-09-08
53,Student_53,14,Male,ENGLISH,B-,Absent,-6,23/02/2024
54,Student_54,16,Male,History,A+,A,,2024-11-03
55,Student_55,,other,Mathematics,A,absent,-6,2024-07-07
56,Student_56,14,other,HISTORY,,Present,-2,2024-12-21
57,Student_57,,Male,Mathematics,A,,N/A,2024-10-11
58,Student_58,,female,ENGLISH,B-,present,42.99,2024-08-10
59,Student_59,N/A,Female,Mathematics,,Absent,,27/06/2024
60,Student_60,,Female,Science,F,N/A,-2,2024-12-01
61,Student_61,17,female,english,F,,N/A,2024-08-24
62,Student_62,,Male,MATH,,A,2.1,2024-09-20
63,Student_63,12,other,MATH,,absent,-5,2024-01-08
64,Student_64,11,female,SCIENCE,C,Present,N/A,2024-03-20
65,Student_65,N/A,FEMALE,History,B,P,-10,2024-05-03
66,Student_66,13,female,english,B,P,N/A,2024-08-09
67,Student_67,,male,science,N/A,absent,78.07,2024-02-17
68,Student_68,13,Female,ENGLISH,B-,absent,,2024-11-11
69,Student_69,,Female,History,,,-8,2024-04-09
70,Student_70,,Female,Mathematics,A+,Absent,N/A,2024-04-20
71,Student_71,,Other,english,N/A,Present,-3,2024-01-19
72,Student_72,N/A,FEMALE,english,D,Present,71.14,2024-09-18
73,Student_73,,Female,MATH,,absent,-10,2024-06-08
74,Student_74,N/A,Other,Mathematics,F,absent,N/A,2024-02-09
75,Student_75,N/A,male,Mathematics,F,P,N/A,2024-07-17
76,Student_76,12,Other,science,N/A,P,,2024-08-07
