student_id,name,age,gender,grade,course,attendance_pct,enrollment_date
1,Stephanie Lara,25,M,,Math,N/A,32-13-2020
2,Eric Sutton,,Male,C,,N/A,32-13-2020
3,Alexis Gonzales,22,maale,A,,-10,32-13-2020
4,Leslie Warren,23,Male,A,math,N/A,
5,Debra Bailey,,Male,C,math,92.8,
6,Sally Hernandez,unknown,Male,C,English,,32-13-2020
7,Lisa Kelley,,Male,A,SCIENCE,83.64,32-13-2020
8,William Bell,25,Other,,,-10,
9,Felicia Lewis,,femle,D,,-10,32-13-2020
10,Leonard Lester,-1,M,F,Science,-10,32-13-2020
11,Madison Perry,,Male,B,English,82.88,2024-02-04
12,Heidi Fields MD,18,Female,F,History,N/A,2020-08-30
13,Stacie Byrd,unknown,Other,,History,60.66,32-13-2020
14,Tina Johnson,-1,F,C,History,-10,
15,Joshua Johnson,unknown,Other,F,SCIENCE,-10,
16,Travis Mendez,18,Female,B,math,,2023-07-16
17,Danielle Abbott,,,,,-10,
18,Andrea Moses,,femle,F,Math,57.14,2024-06-09
19,Michael Le,unknown,F,,,-10,2025-05-01
20,Brian Christensen,11,maale,A,math,N/A,2025-02-08
21,Kristen Gordon,-1,,,math,,32-13-2020
22,James Keller,,Male,C,math,,2025-05-07
23,Melissa Williams,unknown,Other,,Math,52.86,
24,Jacqueline Ward,unknown,Male,A,Math,-10,32-13-2020
25,Nicholas Wilkinson,21,M,,math,99.95,2022-05-19
26,Lauren Bauer,-1,,F,History,-10,
27,Patricia Leonard,unknown,,D,SCIENCE,-10,
28,Victoria Crosby,16,maale,D,math,,
29,Jenny Phillips,unknown,maale,A,English,-10,32-13-2020
30,Emily Thompson,-1,Other,A,math,N/A,2025-05-16
31,Samantha Martinez,17,Other,C,Science,57.27,2021-11-18
32,Jason Davis,,M,D,math,64.3,32-13-2020
33,Sharon Jones,,M,C,,58.77,
34,Mary Martin,,M,D,,-10,2021-07-31
35,Willie Larson,10,maale,D,,,32-13-2020
36,Ronald Brown,-1,Female,A,English,N/A,
37,Russell Smith,-1,Female,,math,N/A,
38,Todd Jordan,,,B,math,,
39,Mark Dalton,unknown,Female,,SCIENCE,-10,32-13-2020
40,Justin Richards,15,Male,F,,77.92,
41,Beverly Johnson,-1,Other,B,,52.18,2020-10-30
42,Jasmine Hernandez,,,C,,,
43,Angelica Lee,unknown,M,,Science,N/A,32-13-2020
44,Kenneth Browning DDS,12,M,B,math,80.09,2024-02-19
45,Eugene Nichols,unknown,,C,English,,2022-05-05
46,Michael Nguyen,-1,maale,F,math,,32-13-2020
47,Brandon Brown,,,A,Science,-10,32-13-2020
48,Russell Cooper,,femle,A,Science,N/A,
49,Sarah Donaldson MD,,,A,math,95.06,32-13-2020
50,Laura Stokes,unknown,femle,,Math,N/A,
51,Thomas Trujillo,,,,Math,-10,32-13-2020
52,Mrs. Michelle Gray MD,,Female,A,Science,-10,2021-05-06
53,Jamie Cabrera,-1,,C,Science,,32-13-2020
54,Nathaniel Roberts,,Male,C,,,2024-05-13
55,Sarah Hanson,,Other,F,SCIENCE,-10,2020-09-15
56,Melissa Jones,,Female,C,English,N/A,2021-11-10
57,Donna Brown,unknown,Female,A,,-10,32-13-2020
58,Faith Bennett,unknown,Other,D,,62.04,32-13-2020
59,Emily Johnson,24,,C,,62.89,32-13-2020
60,Jacob Peters,-1,F,D,Math,95.57,32-13-2020
61,Bradley Horton,10,femle,F,math,,
62,Richard Blevins,11,F,F,,-10,32-13-2020
63,Jeanne Smith PhD,,femle,D,English,-10,
64,Anthony Rivers,-1,F,F,math,,2020-09-26
65,Cory Rodriguez,,F,A,English,92.81,2025-03-05
66,Nicholas Smith,-1,Female,D,SCIENCE,,32-13-2020
67,Thomas Daugherty DDS,-1,,,History,,
68,Caleb Wagner,16,Female,C,,52.12,
69,David Brown,,M,A,History,N/A,2024-06-15
70,Deanna Young,-1,Other,,Math,,
71,Teresa Mccann,unknown,,C,English,93.33,
72,Sharon Mcclure,unknown,maale,,English,N/A,
73,John George,unknown,Female,F,,N/A,2020-09-21
74,Joseph Grimes,,F,C,math,N/A,
